Mode,Stage,Length,Factors,WGS,TPT,GPU_Time_ms
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 4, 2]",512,64,20.527354
z2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",256,32,20.534193
z2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",128,32,20.535787
z2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",512,256,20.547437
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",512,256,20.547573
z2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",256,128,20.558249
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",512,256,20.571766
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",512,256,20.583464
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",512,128,20.592404
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",1024,128,20.594489
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",512,256,20.604134
z2z,N=262144_Stage2_512_sbcc,512,"[16, 2, 2, 2, 2, 2]",128,64,20.659268
z2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 2, 2, 2]",256,64,20.664675
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 2, 2, 2, 2]",1024,256,20.672304
z2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 2, 2, 2]",512,64,20.672737
z2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",256,32,20.696577
z2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 2, 2]",128,32,20.704877
z2z,N=262144_Stage2_512_sbcc,512,"[16, 4, 4, 2]",1024,64,20.707551
z2z,N=262144_Stage2_512_sbcc,512,"[16, 4, 4, 2]",256,64,20.707638
z2z,N=262144_Stage2_512_sbcc,512,"[16, 4, 4, 2]",512,64,20.711299
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",128,64,20.714745
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",512,256,20.721027
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 4, 2]",64,32,20.722175
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",256,64,20.730138
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 4, 2, 2, 2]",1024,128,20.735128
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 4, 2, 2, 2]",512,128,20.738487
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",512,64,20.739107
z2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",128,64,20.742185
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",128,64,20.744057
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 2, 2]",512,64,20.761186
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 8]",1024,32,20.764879
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 2, 2]",256,64,20.764896
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 2, 2]",1024,64,20.768624
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 8]",128,32,20.769371
z2z,N=262144_Stage2_512_sbcc,512,"[16, 16, 2]",128,64,20.769799
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 8]",512,32,20.772052
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 8]",256,32,20.772601
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",64,32,20.780287
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 2, 2]",64,32,20.793347
z2z,N=262144_Stage1_512_sbrc,512,"[16, 2, 2, 2, 2, 2]",64,32,20.794185
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 2, 2]",512,128,20.797344
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 4]",128,32,20.800077
z2z,N=262144_Stage2_512_sbcc,512,"[16, 4, 4, 2]",64,32,20.802623
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 4]",1024,32,20.807608
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 4]",512,32,20.808559
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 2, 2]",1024,128,20.811215
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",256,64,20.811677
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",64,32,20.813781
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 2, 2, 2, 2]",512,128,20.81596
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",512,64,20.817446
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 4]",256,32,20.819391
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 2, 2, 2, 2]",1024,128,20.82269
z2z,N=262144_Stage2_512_sbcc,512,"[8, 2, 2, 2, 2, 2, 2]",1024,256,20.861779
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",512,256,20.877072
z2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",512,64,20.878578
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",256,32,20.883111
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 2, 2, 2]",128,32,20.883358
z2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",256,64,20.883765
z2z,N=262144_Stage2_512_sbcc,512,"[16, 4, 2, 2, 2]",512,128,20.89019
z2z,N=262144_Stage2_512_sbcc,512,"[16, 4, 2, 2, 2]",1024,128,20.895523
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",1024,128,20.9044
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",512,128,20.910229
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 4, 2]",1024,256,20.922625
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",256,32,20.924855
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",512,64,20.928889
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",128,32,20.92935
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",256,64,20.935412
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 4, 2]",1024,256,20.953449
z2z,N=262144_Stage2_512_sbcc,512,"[16, 16, 2]",128,32,20.959185
z2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 2, 2, 2]",1024,128,20.961847
z2z,N=262144_Stage2_512_sbcc,512,"[16, 16, 2]",512,32,20.966926
z2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 2, 2, 2]",512,128,20.968239
z2z,N=262144_Stage2_512_sbcc,512,"[16, 16, 2]",1024,32,20.968564
z2z,N=262144_Stage2_512_sbcc,512,"[16, 16, 2]",256,32,20.974805
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",512,256,20.976733
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 2, 2, 2]",512,128,20.991009
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 2, 2, 2]",1024,128,21.003987
z2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",128,64,21.018775
z2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 4, 2]",512,256,21.021041
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",1024,128,21.029702
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 2, 2, 2, 2]",512,128,21.031809
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 4]",1024,256,21.043779
z2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",128,64,21.048684
z2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",512,256,21.049297
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",128,32,21.058414
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 2, 2, 2, 2]",128,64,21.058722
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",256,32,21.061978
z2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",256,64,21.068442
z2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",512,64,21.070819
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 4, 2, 2, 2]",128,64,21.09624
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 8]",512,128,21.103958
z2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 2, 2, 2]",128,32,21.107077
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 8]",1024,128,21.108577
z2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",64,32,21.112317
z2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 2, 2, 2]",256,32,21.116064
z2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",64,16,21.131239
z2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",128,16,21.138982
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 2, 2, 2, 2, 2]",512,128,21.16019
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 2, 2, 2, 2, 2]",1024,128,21.163004
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 4, 4, 2]",1024,256,21.166104
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",128,16,21.177778
z2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",1024,128,21.178057
z2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",512,128,21.182085
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",64,16,21.183396
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 2, 2]",64,32,21.21654
z2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",128,64,21.225947
z2z,N=262144_Stage2_512_sbcc,512,"[16, 8, 2, 2]",128,64,21.231792
z2z,N=262144_Stage1_512_sbrc,512,"[8, 4, 4, 2, 2]",1024,256,21.233755
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 4, 2, 2, 2]",1024,256,21.236716
z2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",64,16,21.237377
z2z,N=262144_Stage1_512_sbrc,512,"[16, 8, 4]",128,16,21.237572
z2z,N=262144_Stage1_512_sbrc,512,"[4, 2, 2, 2, 2, 2, 2, 2]",1024,256,21.242783
z2z,N=262144_Stage1_512_sbrc,512,"[16, 16, 2]",256,128,21.246184
z2z,N=262144_Stage1_512_sbrc,512,"[4, 4, 2, 2, 2, 2, 2]",1024,256,21.24972
z2z,N=262144_Stage2_512_sbcc,512,"[8, 8, 2, 2, 2]",64,32,21.269843
z2z,N=262144_Stage2_512_sbcc,512,"[16, 4, 2, 2, 2]",64,32,21.306124
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 4, 4, 2]",64,32,21.315367
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 4, 2]",512,256,21.333329
z2z,N=262144_Stage1_512_sbrc,512,"[8, 8, 8]",512,256,21.340623
z2z,N=262144_Stage2_512_sbcc,512,"[8, 2, 2, 2, 2, 2, 2]",1024,128,21.348173
z2z,N=262144_Stage2_512_sbcc,512,"[8, 2, 2, 2, 2, 2, 2]",512,128,21.350639
z2z,N=262144_Stage1_512_sbrc,512,"[16, 4, 2, 2, 2]",512,256,21.379445
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 4, 4, 2]",256,64,21.392393
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 4, 4, 2]",512,64,21.393852
z2z,N=262144_Stage1_512_sbrc,512,"[8, 2, 2, 2, 2, 2, 2]",64,32,21.394139
z2z,N=262144_Stage2_512_sbcc,512,"[4, 4, 4, 4, 2]",1024,64,21.397514
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 2, 2]",1024,64,21.411384
z2z,N=262144_Stage2_512_sbcc,512,"[8, 4, 4, 2, 2]",512,64,21.416219
