Stage,Length,Factors,WGS,TPT,Total_Time_ms
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 4]",1024,512,557.841981
128K_d2z_z2d_256_sbrr,256,"[16, 4, 2, 2]",512,128,557.891233
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",64,16,558.1570729090909
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",128,16,560.2108042727273
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",256,16,561.3596011818182
128K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",1024,256,561.5852090909091
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",128,16,561.6867865454545
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",64,16,562.068722090909
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",512,256,563.7050117272727
128K_d2z_z2d_256_sbrr,256,"[16, 16]",256,64,564.1333926363636
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",128,16,564.8951669090909
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",64,16,565.1056703636364
128K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",512,512,567.335027
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",1024,256,570.3512122727273
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",256,16,570.4759754545455
128K_d2z_z2d_256_sbrr,256,"[16, 16]",512,64,571.4855223636364
128K_d2z_z2d_256_sbrr,256,"[16, 16]",128,128,574.5970876363637
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",256,16,575.5803901818182
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",64,16,576.288036090909
128K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",64,16,577.7127291818182
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",512,128,578.7893482727272
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",1024,256,580.0194960909091
128K_d2z_z2d_256_sbrr,256,"[16, 4, 2, 2]",256,256,581.4881270000001
128K_d2z_z2d_256_sbrr,256,"[16, 4, 4]",512,128,581.7633648181818
128K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",128,16,582.1011114545455
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",256,16,584.125509
128K_d2z_z2d_256_sbrr,256,"[4, 4, 2, 2, 2, 2]",128,16,585.8040897272728
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",256,256,587.1799384545454
128K_d2z_z2d_256_sbrr,256,"[16, 4, 4]",256,256,587.6016748181819
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",512,512,588.1129057272728
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",1024,128,591.0956854545454
128K_d2z_z2d_256_sbrr,256,"[16, 16]",256,128,591.5840191818181
128K_d2z_z2d_256_sbrr,256,"[4, 4, 4, 2, 2]",1024,512,593.585665909091
128K_d2z_z2d_256_sbrr,256,"[16, 8, 2]",1024,64,595.0565644545454
128K_d2z_z2d_256_sbrr,256,"[8, 8, 2, 2]",1024,256,599.3450111818182
128K_d2z_z2d_256_sbrr,256,"[8, 8, 4]",1024,256,603.6053584545455
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",512,512,604.309188
128K_d2z_z2d_256_sbrr,256,"[16, 8, 2]",512,128,609.3412902727273
128K_d2z_z2d_256_sbrr,256,"[8, 2, 2, 2, 2, 2]",1024,512,610.609843090909
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",64,16,612.5393131818182
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",1024,1024,614.3316822727273
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",128,16,618.5158203636363
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",1024,1024,618.8942233636363
128K_d2z_z2d_256_sbrr,256,"[4, 2, 2, 2, 2, 2, 2]",256,16,621.4829941818182
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",256,16,631.4631099999999
128K_d2z_z2d_256_sbrr,256,"[8, 4, 2, 2, 2]",1024,512,632.3869736363636
128K_d2z_z2d_256_sbrr,256,"[16, 8, 2]",256,256,633.8959440000001
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",64,16,637.6380760909092
128K_d2z_z2d_256_sbrr,256,"[16, 2, 2, 2, 2]",512,256,640.3210702727274
128K_d2z_z2d_256_sbrr,256,"[16, 4, 4]",512,256,643.3217398181819
128K_d2z_z2d_256_sbrr,256,"[2, 2, 2, 2, 2, 2, 2, 2]",128,16,644.5018447272728
128K_d2z_z2d_256_sbrr,256,"[8, 4, 4, 2]",1024,512,645.2230204545453
