Stage,Length,Factors,WGS,TPT,GPU_Time_ms
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",128,16,10.585861
Stage1_256,256,"[16, 16]",256,64,10.610052
Stage1_256,256,"[8, 8, 4]",1024,128,10.640336
Stage1_256,256,"[8, 4, 2, 2, 2]",1024,128,10.702873
Stage1_256,256,"[8, 8, 2, 2]",1024,128,10.734005
Stage1_256,256,"[16, 8, 2]",128,64,10.741031
Stage1_256,256,"[16, 16]",512,64,10.752852
Stage1_256,256,"[16, 16]",1024,64,10.752971
Stage1_256,256,"[8, 8, 4]",64,64,10.75414
Stage1_256,256,"[16, 16]",128,64,10.75483
Stage1_256,256,"[8, 8, 2, 2]",256,128,10.764605
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",512,256,10.769552
Stage1_256,256,"[16, 8, 2]",256,64,10.78276
Stage1_256,256,"[8, 8, 4]",256,128,10.795024
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",512,256,10.796827
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",256,16,10.812653
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",128,128,10.812966
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",128,16,10.818458
Stage1_256,256,"[8, 8, 2, 2]",64,64,10.819502
Stage1_256,256,"[16, 4, 4]",64,64,10.83207
Stage1_256,256,"[4, 4, 2, 2, 2, 2]",128,128,10.841274
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",128,128,10.900259
Stage1_256,256,"[8, 4, 4, 2]",128,128,10.903381
Stage1_256,256,"[8, 4, 2, 2, 2]",128,128,10.910774
Stage1_256,256,"[8, 2, 2, 2, 2, 2]",128,128,10.920065
Stage1_256,256,"[4, 4, 4, 4]",64,64,10.936469
Stage1_256,256,"[4, 4, 2, 2, 2, 2]",64,64,10.941374
Stage1_256,256,"[4, 4, 4, 2, 2]",128,128,10.953406
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",1024,256,10.974569
Stage1_256,256,"[4, 4, 4, 2, 2]",64,64,10.976867
Stage1_256,256,"[8, 4, 4, 2]",1024,128,11.001374
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",1024,256,11.010234
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",64,64,11.022374
Stage1_256,256,"[16, 8, 2]",1024,64,11.035902
Stage1_256,256,"[16, 8, 2]",512,64,11.044655
Stage1_256,256,"[16, 4, 2, 2]",64,64,11.048253
Stage2_128,128,"[8, 8, 2]",512,128,11.052098
Stage1_256,256,"[8, 4, 2, 2, 2]",64,64,11.06232
Stage1_256,256,"[8, 2, 2, 2, 2, 2]",64,64,11.065208
Stage1_256,256,"[4, 4, 4, 4]",128,128,11.071813
Stage2_128,128,"[8, 4, 4]",512,128,11.144179
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",512,256,11.148367
Stage1_256,256,"[4, 2, 2, 2, 2, 2, 2]",256,256,11.161633
Stage1_256,256,"[16, 2, 2, 2, 2]",64,64,11.198592
Stage2_128,128,"[8, 4, 4]",256,128,11.210577
Stage2_128,128,"[16, 8]",256,64,11.22144
Stage1_256,256,"[8, 4, 4, 2]",64,64,11.228377
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",256,256,11.237484
Stage1_256,256,"[16, 2, 2, 2, 2]",256,128,11.23942
Stage2_128,128,"[16, 8]",128,64,11.240961
Stage1_256,256,"[8, 8, 4]",128,128,11.299129
Stage2_128,128,"[8, 8, 2]",256,128,11.301775
Stage2_128,128,"[8, 4, 4]",128,128,11.302958
Stage1_256,256,"[16, 8, 2]",64,64,11.346168
Stage1_256,256,"[8, 8, 2, 2]",128,128,11.355622
Stage1_256,256,"[2, 2, 2, 2, 2, 2, 2, 2]",64,64,11.43639
Stage2_128,128,"[2, 2, 2, 2, 2, 2, 2]",1024,256,11.460882
